cohesion_kpa,friction_deg,slope_angle_deg,pore_pressure_ratio,density_kg_m3,charge_weight_kg,distance_m,burden_m,spacing_m,joint_spacing_m,joint_dip_deg,joint_persistence_pct,displacement_m,ppv_mm_s,damage_zone_m,fos_static,fos_method_a,fos_method_b
439.5,32.095,44.89,0.120128965143579,2984.7281887562,4265.32689852522,6.365,4.334,4.392,3.5488872774504,64.25,77.74,0.18123,370.47,1.258,1.805,0.5,0.541
408.0,36.94,50.56,0.198284058365249,2531.99971767328,1707.43101905317,26.07,5.21,7.272,4.73027501109257,77.95,78.64,0.016457,236.95,0.115,1.891,1.071,0.567
718.099999999999,28.21,45.67,0.353613654883576,2463.58336876509,2436.58715730165,10.67,6.116,7.304,4.5876323982254,47.9,63.28,0.050786,365.36,0.334,2.815,0.795,0.845
692.9,33.22,51.16,0.205852166007025,2204.60642905966,503.573618916352,19.245,4.886,3.48,2.06066594502767,38.3,68.32,0.020522,212.17,0.138,3.0,0.997,0.98
652.3,39.25,44.14,0.371411863895789,2578.49211629308,1685.85050794646,15.605,5.432,7.512,1.45663010338126,65.15,49.3,0.044269,454.49,0.276,2.679,0.838,1.079
492.0,28.15,58.57,0.141763918165305,2029.04645041272,2071.192095479,32.125,3.722,8.96,2.38579458958466,59.0,42.46,0.013575,245.44,0.082,2.595,1.129,1.116
735.599999999999,29.29,42.82,0.335137650740868,2320.5492266647,1400.88285034377,39.895,6.728,3.216,1.15871425593203,42.05,77.9799999999999,0.006742,236.02,0.047,3.0,1.395,1.131
687.3,30.325,44.29,0.206104793464687,2734.35883048412,2919.49818225688,18.755,7.802,3.968,4.01576550320489,56.8,45.34,0.025889,433.26,0.159,2.612,0.961,1.093
578.8,38.29,61.87,0.346372840449947,2779.64114763288,3924.75273238744,10.53,4.832,8.91199999999999,1.66060426954019,52.85,64.0,0.079802,356.32,0.527,2.403,0.621,0.721
480.1,28.45,67.5399999999999,0.129911614167894,2412.95060714693,2689.48607489613,6.015,5.942,2.448,3.17501787293586,38.25,56.2,0.23874,418.86,1.529,2.589,0.5,0.777
250.5,36.22,53.83,0.215059547053243,2332.01439348862,1704.42000688432,12.035,4.262,3.664,1.67480138194755,65.8,44.56,0.151828,443.43,0.928,1.378,0.5,0.5
430.4,25.21,50.14,0.321329050625416,2214.71217922134,4624.26977283209,20.995,2.21,8.264,2.79140563922407,44.15,41.14,0.028036,484.86,0.169,1.945,0.946,0.847
678.199999999999,30.58,57.67,0.129010064397653,2714.34886826654,1681.8360060453,32.58,3.062,7.584,2.31196872795188,56.15,61.54,0.00846,281.17,0.055,2.674,1.292,1.162
413.6,28.93,48.43,0.345657492832152,2482.45454106476,3093.58636229754,39.265,2.078,3.248,3.37362292207412,72.85,54.1,0.009302,225.69,0.059,1.746,1.242,0.804
353.4,35.335,44.44,0.372239783185279,2057.19598286241,4856.06368106905,19.77,5.348,8.152,2.59774503581788,77.35,62.92,0.035853,420.01,0.236,1.913,0.894,0.666
194.5,37.105,62.83,0.142081318897042,2883.10410858198,4483.69783089573,13.47,5.528,2.864,1.06279327398153,79.2,41.26,0.165566,340.97,0.999,1.038,0.5,0.5
195.9,32.2,57.07,0.200586921280158,2507.82253724292,3610.60009908995,11.755,6.812,9.976,3.20021517358734,83.25,83.56,0.108302,406.55,0.768,1.053,0.5,0.5
230.2,29.32,55.39,0.154221545191655,2636.53261726645,2120.02718619434,32.16,4.676,5.384,3.8275779798694,84.9,66.34,0.018061,266.66,0.12,1.121,1.039,0.5
176.3,28.03,45.58,0.29357815523363,2210.54873378936,2621.22804223572,20.925,5.834,6.448,3.01632759709305,61.85,79.24,0.041208,279.31,0.288,1.046,0.859,0.5
541.0,38.83,67.42,0.281199054666357,2367.90535064195,3656.29709818782,24.6,3.596,7.968,3.14912515883879,41.75,47.74,0.023505,413.86,0.146,2.978,0.977,1.218
125.9,25.36,67.24,0.285334966437115,2650.08692028808,1139.18797000401,17.53,5.048,9.384,2.81822168059297,81.55,40.12,0.13522,240.22,0.812,0.708,0.5,0.5
545.9,37.465,46.3,0.398185922976807,2731.81457472023,3392.33213705576,15.185,6.65,4.34399999999999,1.2530988662045,48.35,52.78,0.047441,406.45,0.3,2.14,0.817,0.832
275.0,31.705,57.58,0.281280353476167,2914.55204718085,723.974228112997,7.765,3.692,6.04,3.92514484254356,42.25,51.22,0.280525,400.32,1.762,1.168,0.5,0.5
196.6,26.215,50.32,0.239643148013923,2706.32235384497,4628.00803084783,18.93,6.956,6.904,1.02416178689691,37.8,69.94,0.048847,393.37,0.33,0.938,0.808,0.5
453.5,33.76,47.56,0.17667745285964,2196.72595567887,2926.72772429192,29.92,7.454,6.8,2.47872863124169,36.45,67.84,0.01337,262.54,0.09,2.264,1.133,0.744
107.0,31.075,43.12,0.108068232195341,2012.8324426408,3519.99846025275,27.19,2.522,2.928,1.88819959433918,69.1,90.52,0.035543,352.79,0.258,1.027,0.896,0.5
769.199999999999,35.14,65.2599999999999,0.327350061889463,2069.9868869366,1805.85256847725,38.95,7.76,2.744,2.86946884899808,44.95,96.94,0.00332,191.75,0.025,3.0,1.71,1.818
698.5,29.59,61.6,0.105603594831154,2495.35335222802,2114.79408131005,29.745,3.392,8.648,3.95933999825985,79.6,85.24,0.006799,218.87,0.048,3.0,1.392,1.055
576.0,38.86,41.05,0.219767171860574,2864.40076306087,2910.14724291429,37.025,3.242,6.984,2.12992445412416,46.3,95.38,0.006723,208.73,0.05,2.446,1.397,0.774
545.2,38.845,53.23,0.323745030271938,2945.01099582865,4579.75672564171,15.22,3.65,5.904,2.28982175863563,49.95,66.52,0.04107,396.75,0.274,2.047,0.86,0.683
